time,tags,last_timestamp_in_pcap,opened_connections,closed_connections,stalled_connections,ongoing_connections,avg_duration,bytes_in,pkg_in_0-100,pkg_in_100-200,pkg_in_200-300,pkg_in_300-400,pkg_in_400-500,pkg_in_500-600,pkg_in_600-700,pkg_in_700-800,pkg_in_800-900,pkg_in_900-1000,pkg_in_1000-1100,pkg_in_1100-1200,pkg_in_1200-1300,pkg_in_1300-1400,pkg_in_1400-1500,pkg_in_1500-1600,bytes_out,pkg_out_0-100,pkg_out_100-200,pkg_out_200-300,pkg_out_300-400,pkg_out_400-500,pkg_out_500-600,pkg_out_600-700,pkg_out_700-800,pkg_out_800-900,pkg_out_900-1000,pkg_out_1000-1100,pkg_out_1100-1200,pkg_out_1200-1300,pkg_out_1300-1400,pkg_out_1400-1500,pkg_out_1500-1600,avg_bytes_in,avg_bytes_out,ttl_changes_in,ttl_changes_out
2018-03-20 11:44:03.114991,filter=port 1935,1520948021.209899,2,0,0,2,0.14517056941986084,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75239.125,229,2,5,0,2,1,1,1,1,1,40,25,11,26,21,0,0.0,2044.0001245330013,0,255
2018-03-20 11:44:03.128275,filter=port 1935,1520948021.710435,0,0,0,2,0.15845882892608643,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5485.75,16,0,2,2,0,5,1,1,1,1,0,1,2,2,6,0,0.0,922.9583333333334,0,28
2018-03-20 11:44:03.144750,filter=port 1935,1520948022.210946,0,0,0,2,0.1749180555343628,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6559.25,23,0,0,0,6,2,1,1,1,1,0,2,0,7,7,0,0.0,882.6238095238095,0,38
2018-03-20 11:44:03.156414,filter=port 1935,1520948022.712625,0,0,0,2,0.18658220767974854,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7402.0,19,1,2,0,1,2,0,0,1,0,2,2,5,2,0,0,0.0,1559.6842105263158,0,19
2018-03-20 11:44:03.172747,filter=port 1935,1520948023.213005,0,0,0,2,0.2029174566268921,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7577.5,28,1,0,3,0,2,2,1,1,1,1,1,6,2,1,0,0.0,1313.111111111111,0,29
2018-03-20 11:44:03.183704,filter=port 1935,1520948023.713492,0,0,0,2,0.21387231349945068,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330.875,19,0,0,2,1,1,4,0,1,1,0,2,4,2,0,0,0.0,1123.657894736842,0,23
2018-03-20 11:44:03.204009,filter=port 1935,1520948024.213632,0,0,0,2,0.23417890071868896,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10567.375,31,1,0,0,0,1,0,0,1,2,1,9,4,10,2,0,0.0,1322.584375,0,41
2018-03-20 11:44:03.231218,filter=port 1935,1520948024.713796,0,0,0,2,0.2613898515701294,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13357.625,44,1,1,0,0,0,4,1,2,0,1,14,3,8,6,0,0.0,1271.5124584717607,0,62
2018-03-20 11:44:03.257293,filter=port 1935,1520948025.214134,0,0,0,2,0.2874652147293091,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13364.875,32,1,2,1,2,3,0,1,1,1,1,5,4,17,5,0,0.0,1222.203125,0,50
2018-03-20 11:44:03.269275,filter=port 1935,1520948025.715005,0,0,0,2,0.2994471788406372,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3749.625,17,0,0,0,0,0,0,0,3,5,5,2,2,2,0,0,0.0,792.1315789473684,0,32
